"","G35441","G36194","G36491","G36811","G35531","G36771","G35878","G36505","G36449","G37005","G35874","G35403","G36434","G36204","G36530","G36279","G36473","G35892","G36287","G36463","G36760","G35350","G36452","G36910","G35512","G36233","G37030","G36193","G36468","G36202","G36288","G36460","G36186","G35470","G36492","G36495","G36518","G37024","G36516","G36200","G36457","G36528","G35876","G36198","G36242","G36450","G36944","G36203","G36511","G36408","G36138","G36508","G36037","G35523","G35997","G36987","G35513","G36286","G36456","G36213","G36466","G35453","G35923","G35414","G36432","G36769","G36317","G36420","G37047","G36438","G36834","G36476","G35533","G35469","G36764","G36459","G35924","G36219","G36523","G36490","G36205","G36485","G36455","G35352","G36540","G35409","G36824","G37040","G35442","G37026","G35424","G37039","G36139","G36527","G36521","G36433","G36215","G36173","G36761","G36235","G36144","G36816","G35351","G36773","G36141","G35395","G37042","G36514","G36536","G36192","G36028","G36189","G35397","G35404","G36035","G36982","G36538","G36489","G35445","G36763","G36498","G36272","G36201","G37050","G36280","G35522","G36453","G37022","G35477","G35902","G36210","G37045","G36854","G36029","G36435","G36034","G36454","G36753","G35938","G36145","G36257","G36161","G35416","G36439","G36534","G35455","G36464","G36290","G37037","G36431"
"4333897",9,1,6,15,2,5,6,0,33,4,1,9,8,0,3,0,2,2,0,0,3,38,19,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,12,79,0,10,1,5,10,29,2,7,162,26,1,11,0,0,0,17,1,1,10,27,10,2,12,28,0,0,90,2,14,0,4,0,8,80,0,6,1,0,2,9,0,0,8,0,4,5,21,0,0,0,0,9,62,0,26,0,4,1,2,2,2,3,17,11,1,5,54,22,0,1,0,0,0,0,7,1,0,0,0,17,0,6,12,8,1,0,6,5,0,203,9,213,0,23,58,3,1,2,13,15,0,0,0,0,7,46
"190162",4,5,0,19,1,54,0,8,0,0,0,15,0,1,6,7,11,2,1,5,1,0,1,1,23,13,3,5,5,0,20,12,0,12,2,0,53,1,6,13,18,22,24,1,14,0,1,20,1,0,13,0,10,0,6,0,2,6,12,0,15,18,18,0,0,130,3,0,2,13,59,3,3,45,96,0,0,0,0,0,23,0,8,6,0,100,0,6,1,0,0,1,1,7,10,0,1,0,0,11,0,55,66,39,4,35,0,0,52,2,0,0,3,0,0,15,0,7,0,34,38,5,1,0,36,0,2,1,51,0,0,3,4,3,0,0,0,0,5,1,3,0,0,0,15,26,3,0,3,0
"134726",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,1,0,2,150,0,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,282,0,0,0,15,3,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,62,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,16,3,0,16,0,0,0,0,347,0,15,0,0
"679245",0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,128,1,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,7,0,0,0,0,108,0,0,7,0,0,0,0,0,0,0,0,141,0,13,15,3,0,0,0,0,0,0,0,0,0,148,0,24,368,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25,0,0,1,10,0,8,0,0,12,0,0,0,26,0,0,0,0,0,0
"289734",1050,477,1,1875,335,2789,2,1939,0,0,50,2430,0,129,1214,240,4322,273,133,2400,10,8,1,271,2073,1448,440,1977,1381,246,2368,3695,0,1398,465,4,20371,389,3126,759,3587,9558,4538,495,2497,1,1666,770,1,506,4998,1,2771,0,789,0,472,1363,1133,0,3861,2416,797,2,1,2619,791,1,1262,2151,8458,713,436,1856,8352,52,898,14,3,2,803,3,4478,2240,7,11722,2,465,16,19,1,41,199,939,4376,1,2,4,9,1315,327,5143,7865,2598,1165,4179,0,0,14864,745,1,1,645,1,5,2786,55,1246,1,3522,4088,310,144,1,1348,1,1401,981,5387,15,0,1829,435,12,0,0,57,21,2902,516,1272,0,3,2,6845,2394,1355,1207,1135,1
"302049",78,34,0,132,12,178,2,82,0,0,12,156,0,7,64,18,153,30,7,100,1,1,0,8,153,85,25,103,67,13,143,148,0,103,17,2,920,21,126,52,133,434,474,25,205,0,62,34,0,24,270,1,255,0,82,0,30,71,78,0,157,174,41,0,1,184,52,0,67,101,632,32,23,126,568,1,76,0,0,0,39,0,185,131,0,721,0,17,5,2,0,7,15,42,197,0,0,0,3,62,17,425,591,207,81,330,0,0,699,43,0,0,36,0,1,101,2,88,0,249,185,23,9,0,114,0,62,46,372,2,0,96,39,8,0,0,0,0,203,24,81,0,0,1,293,173,54,67,50,0
"3903651",1,5,524,1273,46,40,180,115,1,0,0,10,0,547,574,20,367,68,124,324,884,976,912,0,200,58,207,760,126,159,114,381,0,443,257,703,11268,208,1036,1308,147,2828,380,0,77,0,12,604,0,2,75,152,1477,0,23,0,76,114,119,0,58,1588,1272,2,0,226,37,0,746,54,1754,559,66,530,366,0,59,2,1,340,22,30,95,802,84,499,12,314,1946,12,658,77,16,407,129,0,1,0,1790,357,332,226,1434,124,320,258,0,1,2482,25,1,1,88,0,3,1086,217,544,1,63,195,667,117,1,382,121,79,0,3453,0,192,124,244,6,0,2523,176,1932,64,518,204,1,2,0,418,190,377,492,1031,47
"184922",0,0,0,0,0,90,0,29,0,0,0,0,0,4,0,100,0,0,0,1,0,0,0,0,24,0,0,0,0,10,0,0,0,0,0,0,13,0,0,62,0,0,0,0,0,0,0,118,0,0,56,0,0,0,0,0,15,0,0,0,18,0,0,0,0,0,0,0,73,30,0,0,0,1,0,0,0,0,0,0,3,0,114,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,165,20,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,66,0,0,0,0,0,1,70,42,0
"193946",0,0,0,0,0,40,0,0,0,0,0,1,0,0,0,1,0,7,10,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,1,9,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,8,0,0,0,0,0,0,0,5,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"189592",0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,2,0,5,0,0,0,5,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,11,19,0,0,0,0,0,9,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,2,3,2,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,3,0
"3211875",0,0,0,0,0,10,42,0,0,3,0,0,1,0,2,3,112,4,22,0,0,0,0,2,5,3,11,0,0,0,5,46,0,0,0,0,0,144,0,70,0,2,42,0,1,0,0,0,0,0,0,0,0,0,0,4,0,7,151,0,88,0,0,0,0,25,7,1,173,1,1,0,0,3,16,0,0,1,0,0,0,0,214,0,0,0,28,19,6,18,0,13,0,0,0,0,0,0,0,15,0,0,3,20,0,0,2,0,5,0,0,0,0,0,0,0,0,0,1,3,0,28,50,52,136,0,0,30,3,1,0,382,0,0,1,0,0,0,0,1,4,0,1,0,0,25,0,1,160,0
"175261",0,4,2,0,0,48,0,10,0,0,0,12,0,3,0,7,0,6,8,8,0,0,0,0,1,12,2,0,3,3,16,0,0,2,5,35,0,2,4,33,21,0,0,0,27,0,4,65,0,0,0,0,0,0,8,0,0,9,3,0,0,7,0,0,0,116,1,0,14,19,1,0,0,131,105,0,0,0,0,0,22,0,0,1,0,26,0,6,4,0,1,5,0,0,0,0,0,0,0,36,0,0,1,44,0,7,0,0,2,0,0,0,3,0,0,4,0,9,0,31,17,19,1,0,54,0,0,0,37,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,6,6,0,5,0
"197970",13,0,15,0,0,307,0,13,0,0,0,2,0,4,52,35,0,89,25,37,0,0,0,0,29,34,9,0,13,12,57,0,0,40,31,189,0,0,0,27,77,18,0,0,49,0,4,7,0,0,21,0,0,0,10,0,1,16,9,0,1,126,0,0,0,132,34,0,46,0,0,14,0,128,236,0,0,0,0,43,2,0,0,0,0,8,0,9,0,0,1,30,0,37,0,0,0,0,0,21,0,20,10,48,0,83,0,0,75,0,0,0,14,0,0,15,0,14,0,45,22,113,4,0,22,0,0,0,0,0,0,0,4,0,0,0,0,0,27,0,16,0,0,0,69,85,26,0,73,0
"4390365",538,22,997,850,100,11,1517,53,1596,375,0,807,0,44,2369,19,588,50,7,354,4366,3803,461,102,61,9,600,1667,29,57,45,694,0,124,10,469,4269,41,338,31,634,5134,1614,0,7,0,30,290,1,0,31,1,2582,0,12,272,10,43,21,1,368,347,676,606,0,44,200,1,33,95,2995,1,385,525,32,0,51,318,2,280,158,0,621,945,2874,1359,848,307,3227,0,2811,1,239,1087,197,0,0,0,2181,22,224,599,142,25,395,871,0,1,12365,0,11194,0,202,0,4,916,3925,84,747,1,42,11,3,0,140,85,481,24,147,25,759,79,1,759,0,913,116,7740,1108,90,663,3,421,1,2085,563,107,351,70,149
"186624",1,3,0,0,0,25,298,62,0,0,0,13,0,10,2,1,53,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,3,2,70,0,0,241,13,0,63,12,0,23,0,17,0,0,0,0,0,0,0,0,0,0,38,13,0,0,65,3,0,0,1,22,0,26,0,0,6,0,41,1,0,5,0,1,56,38,0,0,0,0,0,1,6,0,0,70,0,1,15,0,0,0,0,0,1,3,51,1,98,91,0,0,0,37,15,0,0,0,0,0,6,0,0,0,0,3,13,18,0,29,13,0,0,1,0,0,0,28,0,0,0,0,0,0,2,19,0,0,0,0,6,14,58,100,0
"4366867",1,0,4,3,0,25,0,9,0,0,0,0,0,0,43,1,11,4,2,6,5,0,0,0,1,3,12,0,1,0,2,5,0,2,2,64,0,0,0,0,5,59,0,0,4,0,0,2,0,0,0,0,54,0,1,0,3,3,4,0,0,25,0,0,0,12,4,0,0,10,3,0,0,8,56,0,0,0,0,6,0,0,0,0,4,1,0,37,4,0,0,2,0,31,0,0,0,0,9,6,0,2,18,9,1,3,0,0,155,0,0,0,1,0,0,6,3,10,0,3,12,3,0,0,0,0,0,0,41,0,0,0,0,1,0,0,0,25,0,0,3,0,0,0,23,16,0,0,0,0
"175612",0,0,0,0,0,9,1,0,0,0,0,7,0,3,0,1,0,0,2,0,0,0,0,0,1,0,1,3,3,0,0,0,0,1,611,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,1,0,0,12,0,0,0,1,2,0,0,0,0,0,0,15,3,0,0,0,0,0,2,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,21,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0
"175184",0,0,1,0,0,11,0,0,0,0,0,0,0,1,1,0,0,5,3,0,0,0,0,0,3,1,0,0,1,0,0,0,0,5,1,12,0,0,0,1,0,1,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,27,0,0,3,0,0,2,0,16,14,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,9,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,1,1,0
"4454531",2,0,2,22,0,11,4,0,51,1,0,11,6,0,5,0,5,0,0,0,27,32,97,0,0,0,0,21,0,0,0,0,0,2,1,12,1,0,0,0,0,11,9,20,0,83,1,1,17,97,0,24,113,14,1,9,1,0,0,20,1,0,134,21,25,0,25,19,0,1,130,15,13,0,17,1,0,24,0,28,0,0,1,9,11,1,2,0,9,6,59,3,0,1,1,31,48,0,50,0,11,5,28,2,1,18,1,9,0,11,33,175,0,0,0,0,3,0,0,2,0,0,0,11,0,12,22,3,1,0,10,3,0,25,15,20,19,27,88,6,0,4,9,54,0,1,0,7,32,48
"198422",0,4,0,0,0,109,0,4,0,0,0,47,0,17,0,22,0,2,4,0,0,0,0,0,15,0,23,1,20,21,0,0,0,3,22,0,0,0,0,16,0,0,0,0,0,0,8,7,0,0,2,0,0,0,33,0,2,26,22,0,0,197,0,0,0,4,11,0,0,0,0,0,0,135,6,0,0,0,0,1,53,3,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9,127,0,81,0,0,0,1,0,0,13,1,0,0,0,1,0,17,4,0,11,0,36,0,0,0,1,0,0,0,6,0,0,0,0,0,24,0,0,0,0,0,0,33,0,1,0,0
"4448492",0,0,0,0,0,178,0,646,0,0,0,6,0,43,0,2,1,208,87,678,0,0,0,0,84,94,79,0,365,556,117,395,0,459,1,959,0,141,0,31,812,3,0,0,140,0,1,48,1,0,76,0,0,0,82,0,7,213,213,0,399,747,0,0,0,126,226,0,440,339,0,496,0,295,11,10,0,1,0,593,0,0,0,0,0,2,0,120,0,16,1,0,0,3,0,0,0,0,1,187,2,0,4,10,2,45,0,0,1,0,0,0,25,0,2,877,0,249,0,594,241,48,64,0,525,0,0,0,2,0,0,304,83,1,1,0,0,0,202,0,228,0,1,0,0,404,298,0,1004,0
"730906",0,1,0,0,0,0,0,3,0,0,0,6,0,1,0,3,0,3,2,0,0,0,0,0,0,4,0,0,0,4,10,5,0,0,47,6,0,0,0,0,0,0,0,0,17,0,0,18,0,0,0,0,0,0,1,0,0,5,0,0,5,130,0,0,0,0,37,0,0,3,0,0,0,6,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,17,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,25,0,0,19,0,0,0,4,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,156,0,0,0,0
"1740283",0,7,0,0,0,120,715,136,0,0,0,51,0,35,6,11,70,1,6,0,0,0,1,0,0,0,2,5,0,5,5,0,0,17,21,98,1,1,352,11,1,101,23,0,39,0,14,4,0,0,0,1,0,0,0,0,0,65,18,0,0,254,9,0,0,2,45,0,69,0,0,7,0,118,3,0,10,0,1,71,78,0,0,0,0,0,0,15,0,0,96,2,1,19,0,0,0,0,1,6,5,93,0,234,205,0,0,0,39,41,0,0,0,0,0,30,1,2,0,3,0,17,40,0,71,25,0,0,10,0,0,0,60,2,0,0,0,0,0,14,30,0,0,0,0,23,27,80,167,1
"172777",0,4,0,6,1,112,26,0,2,56,0,1,12,8,78,1,60,12,1,105,185,112,6,0,1,0,7,47,38,20,0,15,108,8,0,0,17,0,4,12,75,40,25,0,2,4,0,43,197,0,3,81,4,3,1,41,2,3,45,0,13,9,113,102,3,99,1,54,8,16,10,61,1,21,139,39,5,0,6,0,13,0,34,29,6,1,92,14,88,0,2,52,19,30,1,2,0,107,189,0,0,0,4,63,0,10,0,66,73,5,2,182,0,83,27,74,13,1,13,90,0,2,26,0,44,1,6,0,6,1,0,0,2,19,0,2,1,103,0,0,12,0,54,2,35,2,53,3,7,1
"3583645",0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,9,1,0,0,8,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,3,0,0,0,1,2,0,0,0,5,0,0,1,0,0,0,0,8,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,14,0,0,1,1,1,0,2,0,0
"355975",0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,5,0,3,6,0,0,0,17,0,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,6,0,0,0,4,27,0,29,47,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,46,0,0,0,0,0,0,42,8,13,0,0
"189920",0,0,0,298,31,29,58,0,31,2,0,0,151,1,200,7,202,269,14,515,19,41,226,2,44,1,377,4,127,0,1,90,0,245,0,0,587,0,121,1,251,9,22,0,10,117,11,3,3,0,102,2,132,67,0,6,38,2,38,1,47,169,8,9,67,44,1,31,147,13,253,199,25,583,23,198,0,0,11,0,0,0,157,2,3,0,10,763,55,0,53,678,124,24,8,38,0,1,5,10,1,1,135,16,2,255,0,2,48,0,47,1,0,0,23,32,9,1,0,13,0,12,0,0,78,34,138,0,44,3,0,0,87,163,90,11,16,3,0,2,555,0,3,35,93,30,172,83,125,56
"798581",0,0,0,0,0,202,9,31,0,0,0,0,1,0,44,0,0,9,0,215,0,0,0,0,1,12,0,0,133,0,7,69,0,69,22,22,2,0,0,3,61,777,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,2,116,0,39,110,135,0,0,312,0,1,1,66,1,0,0,107,861,0,17,2,0,41,0,0,0,0,8,0,0,0,1,0,0,7,0,37,0,0,0,0,3,1,3,1,4,135,2,2,0,0,529,0,0,0,0,1,0,98,10,43,0,172,234,0,1,0,1,0,27,1,290,0,0,0,25,0,0,0,0,1,0,0,56,0,0,0,118,1,1,0,0,0
"193672",14,49,118,31,8,22,14,118,0,0,0,148,0,130,29,2,0,23,0,5,25,0,3,0,531,39,84,85,50,76,50,9,0,29,9,76,0,10,406,27,4,385,1,0,110,0,201,813,0,0,239,0,145,0,1451,0,9,72,3,0,39,15,80,0,0,0,58,0,324,187,144,0,16,49,181,0,129,0,0,26,617,88,0,0,11,324,14,11,0,612,657,4,0,23,0,0,2,0,64,136,20,1,102,158,500,211,0,0,72,238,1,14,30,0,0,0,45,9,8,27,57,86,169,0,0,20,142,100,536,0,0,0,38,1,0,0,0,51,1955,0,5,0,0,0,9,162,0,3,263,0
"3275562",0,1,0,526,0,62,0,369,0,0,0,12,0,2,94,34,0,21,35,0,2,0,0,0,1,1184,33,7,2764,13,1646,0,0,0,2662,0,3,1702,2,2,207,1918,0,1,3781,0,0,3,0,0,0,0,0,0,1,0,0,25,3634,0,0,10,0,0,0,83,3,0,738,0,472,1,0,52,888,0,0,0,2,0,1,0,0,0,2,0,0,2,1,0,0,352,0,1009,0,0,0,0,1,99,1,2,0,44,10,0,0,0,23,1,0,0,0,0,3,1,0,11,0,351,533,661,6,0,5943,0,0,0,11,0,1,6,128,0,0,0,0,1,0,0,5635,0,0,0,0,10,1,177,296,0
"4391262",23,2,31,70,7,18,23,0,143,26,0,38,41,1,3,0,3,3,0,0,26,189,118,0,3,0,1,17,0,1,0,1,0,6,1,7,0,1,0,2,2,5,34,235,0,86,2,3,41,148,0,43,464,109,4,52,1,0,3,91,1,0,61,92,52,1,50,130,0,1,361,8,37,2,14,0,29,361,0,28,0,1,3,65,6,3,38,1,22,31,124,1,1,0,0,44,185,0,91,0,20,19,16,1,7,9,63,59,0,14,251,130,0,0,0,0,1,0,36,0,3,0,0,106,0,40,52,23,8,0,44,22,0,582,39,729,14,71,245,9,2,4,93,76,0,1,0,6,23,65
"2762219",3,0,0,11,0,0,2,0,0,0,0,0,0,0,15,0,2,0,0,3,40,1,8,0,0,0,0,1,2,0,0,0,0,0,0,0,27,1,2,0,0,41,4,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,29,2,8,1,0,1,1,0,1,1,15,2,0,0,1,0,0,0,0,2,0,0,1,0,14,2,0,4,1,0,27,0,0,14,0,0,0,0,17,0,0,0,1,0,3,1,0,0,16,0,0,0,0,0,0,7,9,0,0,0,1,0,0,0,0,9,0,0,1,0,0,0,0,2,0,0,0,18,1,0,0,0,0,0,6,1,0,1,14,0
"176067",0,0,0,1,0,6,0,0,0,0,0,0,0,0,10,0,4,2,1,10,0,0,0,0,1,3,4,0,4,0,1,0,0,0,2,16,0,0,0,0,5,22,0,0,4,0,0,5,0,0,2,0,4,0,1,0,1,0,1,0,0,10,0,0,0,1,2,0,0,3,10,0,0,4,26,0,0,0,0,1,0,0,0,0,3,8,0,3,0,0,0,0,0,15,0,0,0,0,2,0,0,1,10,0,0,0,0,0,183,0,0,0,3,0,0,6,10,3,0,0,5,8,0,0,0,0,0,0,26,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,42,2,0,0,0,0
"184990",0,8,0,19,0,1,0,0,0,0,0,7,0,2,7,7,25,1,5,35,0,0,0,2,3,16,1,8,20,2,44,1,0,4,0,14,0,3,10,12,39,23,0,0,27,0,2,18,0,0,13,0,0,0,11,0,0,14,16,0,0,18,0,0,0,24,10,0,25,30,34,0,0,9,0,0,0,0,0,11,17,0,0,0,0,24,0,7,62,0,0,0,8,6,0,0,0,0,0,17,0,12,45,5,9,27,0,0,83,0,0,0,0,0,0,0,6,11,0,0,9,13,6,0,38,0,0,0,72,2,0,0,5,0,0,1,0,0,25,0,12,0,0,0,22,2,36,13,30,0
"4439360",0,3,0,9,0,2918,5,0,2,0,0,341,89,2,2,11,5713,238,17,4,10703,1,2,90,5,62,0,1,7352,2,197,3213,0,1,0,0,4,537,1,14,6159,1,8,1,362,1,8,3,3715,18,2,2117,1,1,8,0,1,48,4348,4751,1538,1,6135,2,462,3690,196,25,1982,1058,4,1,0,853,4363,1,461,16572,0,0,5,0,3603,1,1,0,4,0,1782,13,2,1051,2,0,3,356,14995,1,13371,96,8338,4,5,1133,14,9,0,1415,1,7,0,2,0,1,11,2,0,4,0,3425,4104,281,4,0,7,1,0,1,820,3,28,0,6,29,143,2,28,6467,95,5644,3228,26,3,237,2,2774,4,1093,2476,104
"1504042",0,0,525,0,0,179,0,42,0,0,0,35,0,113,637,0,0,1048,117,1018,5,0,1,0,643,41,1450,0,372,75,193,632,1,1585,132,264,1,0,1,915,210,762,1,0,120,1,0,121,0,0,299,0,0,0,54,0,460,94,432,0,71,1406,0,0,0,297,74,0,202,131,1,0,0,752,369,0,0,0,0,247,0,0,107,0,19,9,11,915,7,0,2,246,0,912,0,0,0,1,9,430,4,0,1985,476,3,73,0,1,770,0,0,1,13,1,1,1789,210,343,0,61,745,286,180,0,356,0,0,1,2699,0,0,1,911,3,0,0,0,0,3,0,0,0,0,0,527,1023,1,0,150,0
"306299",0,0,1,33,0,4,2,12,0,0,0,0,0,0,2,1,0,12,13,0,7,1,1,0,18,4,10,0,12,0,17,26,0,0,0,0,0,0,764,15,11,2,0,0,10,0,10,0,0,8,14,0,6,0,0,0,1,8,0,0,3,107,0,0,0,11,4,0,39,23,35,1,0,5,46,0,0,0,0,0,0,5,4,1,1,0,0,1,379,0,3,6,0,0,0,0,0,0,11,15,0,0,3,6,21,8,0,0,4,0,0,0,0,0,0,23,0,6,1,23,13,18,7,0,36,0,0,0,80,0,60,0,0,0,0,0,0,18,1,0,12,7,0,0,0,69,0,0,47,0
"196957",23,0,29,0,0,442,0,36,0,0,0,1,0,12,84,44,0,151,64,60,0,0,0,0,19,35,15,0,31,26,49,0,0,48,105,271,0,0,0,49,111,47,0,0,68,0,7,14,0,0,26,0,0,0,8,0,12,39,19,0,0,184,0,0,0,281,57,0,87,0,1,32,0,242,495,5,0,0,0,86,3,0,0,0,0,18,0,17,2,1,0,49,1,47,0,0,0,0,0,92,0,21,27,80,0,130,0,0,100,0,0,0,21,0,0,20,2,40,0,50,50,98,3,0,27,1,0,0,1,0,0,0,8,0,0,0,0,0,56,0,36,0,0,0,157,181,62,0,158,0
"2017729",0,0,0,0,0,26,35,3,0,0,0,1,0,0,0,7,2,2,0,0,1,0,0,0,1,1,4,1,5,1,0,0,0,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,9,0,0,0,3,2,0,1,0,0,3,0,2,27,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,12,1,0,0,0,0,0,1,0,0,0,0,12,1,4,0,0,3,0,0,0,0,0,1,0,0,2,0,4,3,2,0,0,2,1,0,0,1,0,0,0,3,0,0,0,0,1,1,0,1,0,0,0,0,7,0,2,2,0
"3141094",0,0,0,1,0,18,63,0,0,0,0,2,1,0,4,0,22,5,2,0,0,0,0,0,7,2,1,0,0,0,0,6,0,0,0,0,0,24,0,19,0,14,39,0,1,0,0,0,1,0,2,1,0,1,0,1,0,3,9,0,22,0,0,1,0,52,4,1,42,7,5,0,0,11,29,0,0,1,0,0,0,0,53,0,0,1,26,3,16,3,1,4,1,1,0,1,0,0,0,6,0,1,13,64,0,1,1,1,27,0,0,0,0,0,2,6,0,1,0,16,0,10,9,5,42,0,0,3,3,0,0,82,1,3,0,0,0,1,0,0,7,1,6,0,0,15,0,3,47,0
"4446902",19,31,4,8,0,2,3,6,0,15,3,34,0,0,23,0,4,10,0,3,8,0,13,16,7,2,9,17,1,0,8,0,0,1,22,26,85,4,96,7,3,118,14,11,16,1,9,4,0,0,16,4,19,5,10,0,0,6,0,0,9,37,8,0,1,3,9,2,16,6,6,1,6,13,5,0,21,1,23,10,30,0,4,0,21,125,7,6,8,5,4,4,0,10,0,0,2,2,22,10,1,8,7,1,50,30,0,1,142,9,2,3,12,0,5,9,11,10,38,7,8,14,1,6,8,9,11,5,49,12,11,0,0,4,6,0,0,50,15,9,37,0,34,0,27,16,1,11,21,7
"1142029",0,3,0,16,4,3,0,1,2,0,1,1,0,0,26,0,1,13,0,16,0,0,0,0,0,60,0,0,14,0,57,0,0,1,2,5,8,1,1,25,0,126,0,0,34,135,0,34,0,2,0,0,50,4,0,0,0,1,21,0,0,3,13,0,4,19,0,2,6,0,30,137,5,132,10,30,6,0,33,4,0,0,0,2,10,1,0,0,10,20,0,0,0,25,0,2,0,0,0,39,5,0,1,3,2,2,20,0,5,0,10,0,0,0,2,0,7,0,0,2,0,5,0,18,0,0,0,21,117,0,0,23,2,12,1,11,4,0,0,0,2,0,1,3,117,5,104,40,4,0
"4354235",0,19,0,482,0,12,0,1072,0,0,0,4,0,162,2,303,1,1701,5,1,1,0,0,0,1,140,874,28,2728,330,261,0,0,5,5,0,0,73,0,281,174,4,1,0,897,0,20,229,0,1,4,1,2,0,1,0,0,15,3656,0,0,1943,0,0,0,27,175,0,28,0,382,0,0,135,2014,0,0,1,1,0,68,0,2,0,2,18,1,1,2,1,0,194,0,3,0,0,0,0,2,302,0,1,1,23,4,2,0,0,1,1,0,1,0,0,2,0,0,4644,1,937,42,920,750,0,473,0,0,0,2098,0,0,53,444,3,0,0,0,3,0,0,111,0,0,1,1,2662,0,442,63,0
